age,gender,province,urban_rural,household_income,parent_education,attendance,highest_grade,dropout
15,Female,Free State,Rural,8887.41,Primary,Yes,4,0
19,Female,Mpumalanga,Urban,6353.11,Tertiary,Yes,4,0
19,Female,Limpopo,Urban,12135.22,Tertiary,Yes,11,0
19,Male,Mpumalanga,Urban,5245.06,Primary,Yes,5,0
18,Male,KwaZulu-Natal,Urban,5092.2,Primary,Yes,10,0
14,Male,Eastern Cape,Urban,0.0,Primary,Yes,9,0
12,Male,Western Cape,Urban,5784.13,Secondary,Yes,8,0
19,Female,North West,Urban,13234.87,None,Yes,7,0
12,Female,Free State,Urban,0.0,Secondary,Yes,5,0
19,Female,Limpopo,Urban,4192.32,Secondary,Yes,9,0
15,Female,Mpumalanga,Urban,9756.27,Tertiary,Yes,9,0
14,Male,KwaZulu-Natal,Rural,0.0,Primary,Yes,10,0
14,Male,Western Cape,Rural,5957.21,Tertiary,Yes,10,0
17,Male,Western Cape,Urban,12563.45,Secondary,Yes,2,0
18,Female,Free State,Urban,16172.1,Primary,Yes,4,0
17,Male,North West,Rural,9160.99,Primary,Yes,8,0
17,Male,Northern Cape,Urban,,,,1,0
17,Female,Free State,Urban,4159.49,Primary,Yes,5,0
17,Female,Mpumalanga,Rural,1000000.0,Primary,Yes,8,0
17,Male,Eastern Cape,Rural,9123.85,Secondary,Yes,2,0
16,Male,Gauteng,Rural,15431.72,Secondary,Yes,2,0
14,Male,Northern Cape,Urban,11883.22,Tertiary,Yes,8,0
17,Male,North West,Rural,8336.43,Primary,Yes,10,0
19,Male,KwaZulu-Natal,Urban,6659.17,Tertiary,Yes,9,0
14,Male,Northern Cape,Rural,20058.85,Primary,Yes,7,0
14,Female,Limpopo,Urban,10506.38,Secondary,Yes,8,0
13,Female,North West,Urban,5324.99,Primary,Yes,5,0
16,Female,Eastern Cape,Rural,7101.51,Primary,No,4,1
17,Male,Limpopo,Urban,4490.18,Tertiary,Yes,4,0
12,Female,Northern Cape,Urban,0.0,Primary,No,8,1
15,Male,Gauteng,Rural,,,,3,0
18,Male,Gauteng,Urban,15129.82,Secondary,Yes,3,0
19,Female,Eastern Cape,Urban,1477.77,Secondary,Yes,9,0
12,Male,Western Cape,Urban,8221.05,Secondary,Yes,10,0
16,Male,KwaZulu-Natal,Rural,5172.38,Secondary,Yes,4,0
15,Female,Western Cape,Rural,10086.01,None,Yes,2,0
16,Female,Gauteng,Urban,7310.68,Secondary,Yes,3,0
19,Female,Gauteng,Rural,2559.78,Tertiary,Yes,3,0
14,Male,Mpumalanga,Urban,4075.59,None,Yes,7,0
15,Female,Limpopo,Rural,4678.8,Primary,Yes,8,0
14,Female,Northern Cape,Urban,13377.27,Secondary,Yes,11,0
19,Male,KwaZulu-Natal,Urban,13173.04,Secondary,Yes,6,0
12,Female,Eastern Cape,Rural,6754.61,Secondary,Yes,4,0
19,Female,Northern Cape,Urban,12911.21,Primary,Yes,6,0
12,Female,Mpumalanga,Urban,,,,11,0
15,Male,Gauteng,Urban,6693.35,Primary,Yes,1,0
15,Male,Eastern Cape,Rural,8228.47,Secondary,Yes,10,0
17,Male,Gauteng,Urban,9139.3,Secondary,Yes,8,0
16,Male,KwaZulu-Natal,Urban,5778.22,Primary,Yes,1,0
17,Female,Limpopo,Urban,8087.46,Secondary,Yes,5,0
16,Male,Northern Cape,Urban,11149.29,Tertiary,No,7,1
17,Male,Northern Cape,Urban,8518.16,Secondary,No,2,1
14,Female,Western Cape,Rural,8171.13,Tertiary,Yes,9,0
15,Female,Eastern Cape,Rural,9976.72,Secondary,Yes,5,0
12,Female,Mpumalanga,Urban,10666.82,Secondary,Yes,4,0
16,Male,Western Cape,Urban,7749.54,None,Yes,2,0
19,Male,KwaZulu-Natal,Urban,6103.28,Primary,Yes,3,0
16,Male,Mpumalanga,Urban,8756.81,Primary,Yes,6,0
12,Female,Limpopo,Rural,1624.15,Secondary,Yes,8,0
17,Female,Limpopo,Urban,7158.71,Tertiary,Yes,8,0
16,Male,Limpopo,Urban,,,,5,0
18,Female,Limpopo,Rural,1296.83,Secondary,Yes,5,0
14,Female,Western Cape,Urban,695.26,Secondary,Yes,10,0
15,Female,North West,Rural,12189.41,Secondary,No,7,1
12,Male,Mpumalanga,Urban,8055.93,Primary,Yes,7,0
15,Female,Eastern Cape,Rural,2951.8,Secondary,Yes,6,0
18,Female,KwaZulu-Natal,Rural,9964.26,Primary,Yes,1,0
16,Male,Free State,Rural,11954.62,None,Yes,4,0
16,Male,Gauteng,Rural,10033.94,Tertiary,Yes,6,0
19,Female,Eastern Cape,Urban,7245.16,Primary,No,2,0
18,Female,Gauteng,Urban,8929.95,None,Yes,6,0
12,Male,Mpumalanga,Rural,11605.99,Tertiary,Yes,11,0
19,Male,Eastern Cape,Urban,6123.02,Primary,Yes,3,0
14,Female,Limpopo,Urban,,,,6,0
19,Female,Limpopo,Urban,6971.23,Primary,No,8,0
13,Female,Free State,Urban,1546.34,Primary,No,5,1
12,Female,Gauteng,Urban,11666.27,Primary,Yes,9,0
13,Male,KwaZulu-Natal,Urban,16229.09,Primary,Yes,9,0
18,Female,Mpumalanga,Rural,4504.82,Secondary,Yes,2,0
17,Female,Limpopo,Urban,1000000.0,Secondary,Yes,4,0
13,Male,North West,Urban,4632.02,Secondary,Yes,9,0
14,Female,Western Cape,Urban,8531.15,Tertiary,Yes,4,0
19,Male,Western Cape,Urban,14032.05,None,No,4,0
17,Female,KwaZulu-Natal,Rural,5918.24,Secondary,Yes,10,0
19,Female,Western Cape,Urban,7941.25,Secondary,No,6,0
13,Male,Gauteng,Urban,793.99,Tertiary,Yes,3,0
19,Male,Limpopo,Rural,5343.18,None,Yes,9,0
18,Female,Limpopo,Urban,374.91,Secondary,No,4,0
17,Female,North West,Urban,9716.71,Tertiary,Yes,10,0
18,Female,Eastern Cape,Urban,11326.55,Primary,No,9,0
13,Male,Western Cape,Rural,7113.46,Tertiary,Yes,1,0
18,Female,Gauteng,Urban,9143.55,None,Yes,10,0
14,Male,Northern Cape,Urban,1000000.0,Secondary,No,7,1
13,Male,Western Cape,Urban,10962.18,Tertiary,Yes,3,0
13,Female,KwaZulu-Natal,Urban,8517.85,Secondary,No,3,1
13,Male,Eastern Cape,Urban,,,,7,1
12,Female,Western Cape,Urban,11759.92,None,Yes,3,0
19,Female,Gauteng,Urban,6441.83,Tertiary,Yes,8,0
12,Female,Western Cape,Rural,2918.48,Secondary,Yes,11,0
12,Female,KwaZulu-Natal,Rural,6244.26,None,Yes,11,0
14,Female,Northern Cape,Urban,391.72,Secondary,Yes,6,0
17,Male,Mpumalanga,Rural,3000.44,Secondary,Yes,7,0
19,Male,Free State,Urban,-5000.0,Primary,Yes,10,0
18,Female,Northern Cape,Urban,8906.85,Primary,Yes,10,0
16,Female,Western Cape,Rural,9225.76,None,Yes,6,0
13,Male,Limpopo,Rural,8012.84,Secondary,Yes,1,0
18,Male,North West,Rural,5228.54,Secondary,Yes,11,0
13,Male,Limpopo,Urban,7782.16,Secondary,No,7,1
14,Male,Northern Cape,Rural,6251.17,Tertiary,Yes,1,0
13,Female,Limpopo,Urban,1496.87,Tertiary,Yes,10,0
12,Female,Gauteng,Rural,,,,9,0
19,Male,Limpopo,Rural,11558.16,None,Yes,9,0
16,Female,Eastern Cape,Urban,14353.18,Secondary,No,3,1
15,Male,Mpumalanga,Rural,10605.1,Secondary,Yes,4,0
13,Female,Western Cape,Urban,14174.79,Secondary,Yes,9,0
18,Male,Limpopo,Urban,8341.55,Secondary,Yes,9,0
12,Female,KwaZulu-Natal,Urban,14969.5,Primary,Yes,3,0
15,Male,Mpumalanga,Urban,16217.95,Tertiary,Yes,5,0
16,Male,Mpumalanga,Rural,1066.12,Primary,Yes,3,0
15,Female,Limpopo,Rural,8885.97,Secondary,Yes,10,0
12,Male,Mpumalanga,Urban,8345.72,None,Yes,2,0
19,Female,North West,Rural,6303.58,Tertiary,No,1,0
19,Female,Limpopo,Rural,9967.66,Primary,Yes,10,0
17,Male,Gauteng,Urban,8164.5,None,Yes,2,0
19,Female,Northern Cape,Rural,5058.2,Primary,Yes,8,0
17,Female,Eastern Cape,Urban,7893.58,Primary,Yes,11,0
15,Female,Free State,Rural,12818.38,Primary,No,1,1
14,Female,Mpumalanga,Urban,8730.15,Secondary,Yes,3,0
18,Female,Gauteng,Urban,10507.82,Secondary,Yes,7,0
18,Male,Western Cape,Urban,6891.79,None,Yes,7,0
15,Female,Western Cape,Rural,9808.26,Primary,Yes,2,0
13,Female,Eastern Cape,Urban,3163.14,Tertiary,Yes,9,0
13,Female,Mpumalanga,Urban,6001.12,Secondary,Yes,3,0
19,Female,North West,Urban,7589.33,Secondary,Yes,2,0
18,Female,Eastern Cape,Rural,2894.66,Secondary,Yes,3,0
18,Male,Mpumalanga,Urban,4679.13,Primary,Yes,2,0
17,Female,Gauteng,Urban,9252.45,None,Yes,8,0
14,Male,Northern Cape,Urban,8519.33,Primary,No,1,1
12,Male,North West,Urban,,,,3,0
13,Male,Free State,Rural,5597.96,Tertiary,Yes,5,0
18,Male,Western Cape,Rural,8230.41,Secondary,Yes,11,0
17,Female,KwaZulu-Natal,Urban,5312.53,None,Yes,11,0
16,Male,Gauteng,Urban,10824.51,Primary,Yes,8,0
17,Male,Western Cape,Rural,12762.98,Primary,Yes,7,0
13,Female,Limpopo,Urban,9933.3,Secondary,Yes,6,0
13,Female,KwaZulu-Natal,Rural,12244.78,None,Yes,1,0
17,Female,Western Cape,Rural,8130.0,Tertiary,Yes,10,0
12,Male,Eastern Cape,Rural,11222.38,Primary,Yes,1,0
15,Female,North West,Urban,8301.67,Tertiary,Yes,1,0
13,Female,Western Cape,Urban,3900.29,Secondary,Yes,10,0
17,Male,Free State,Rural,,,,8,0
18,Female,Northern Cape,Urban,,,,8,0
17,Female,Eastern Cape,Rural,17356.52,Secondary,Yes,7,0
14,Female,Gauteng,Urban,6663.65,Secondary,Yes,6,0
15,Female,Gauteng,Rural,10580.15,Secondary,Yes,4,0
16,Male,Gauteng,Urban,7950.35,Secondary,Yes,1,0
12,Female,Gauteng,Urban,3065.55,Tertiary,Yes,9,0
19,Female,Northern Cape,Urban,405.91,Secondary,Yes,1,0
16,Male,Western Cape,Rural,10996.06,Secondary,Yes,4,0
15,Female,Mpumalanga,Rural,14197.36,Tertiary,Yes,3,0
15,Male,Western Cape,Urban,5060.79,Primary,No,8,1
15,Female,Limpopo,Urban,1373.23,None,No,6,1
16,Male,North West,Rural,6699.35,Secondary,Yes,5,0
18,Male,KwaZulu-Natal,Urban,4251.53,Secondary,Yes,4,0
15,Male,Mpumalanga,Urban,5398.74,Tertiary,Yes,1,0
17,Male,Mpumalanga,Urban,10441.49,Secondary,Yes,5,0
16,Female,Western Cape,Urban,7798.15,Secondary,Yes,4,0
19,Male,Mpumalanga,Urban,4681.97,Secondary,Yes,10,0
15,Female,Limpopo,Urban,10354.0,None,Yes,8,0
17,Male,KwaZulu-Natal,Urban,10667.49,Secondary,Yes,2,0
18,Male,Free State,Urban,6651.77,Tertiary,Yes,8,0
14,Male,Northern Cape,Urban,8551.67,Primary,Yes,1,0
18,Female,Western Cape,Urban,10082.01,Secondary,Yes,4,0
19,Male,Northern Cape,Urban,9704.41,Secondary,Yes,3,0
15,Female,Free State,Rural,8162.46,Primary,Yes,5,0
19,Female,Western Cape,Urban,13730.34,Primary,Yes,5,0
16,Female,Western Cape,Urban,10330.72,Tertiary,No,5,1
13,Female,KwaZulu-Natal,Urban,,,,2,1
15,Female,Northern Cape,Urban,6221.32,Primary,Yes,8,0
13,Female,Gauteng,Urban,5767.65,Primary,Yes,3,0
17,Female,Northern Cape,Urban,10528.48,Secondary,Yes,4,0
14,Female,North West,Rural,5509.01,Secondary,Yes,1,0
12,Female,North West,Urban,6300.4,Secondary,Yes,7,0
19,Male,Western Cape,Rural,12232.09,None,No,8,0
18,Male,Gauteng,Urban,8766.53,Tertiary,Yes,2,0
14,Male,Eastern Cape,Urban,12794.13,Primary,Yes,11,0
15,Male,Free State,Urban,,,,7,0
13,Male,Limpopo,Urban,3293.31,Secondary,Yes,1,0
18,Female,Gauteng,Urban,7591.47,Primary,Yes,11,0
13,Female,Limpopo,Rural,11959.8,Tertiary,Yes,3,0
16,Female,Northern Cape,Urban,1000000.0,Tertiary,Yes,6,0
13,Female,Northern Cape,Rural,9678.84,Primary,Yes,6,0
16,Female,Limpopo,Rural,7843.05,Tertiary,Yes,6,0
17,Female,Free State,Urban,980.85,Secondary,Yes,11,0
18,Female,Gauteng,Urban,,,,6,0
18,Male,Eastern Cape,Urban,4650.13,Primary,Yes,2,0
12,Male,Western Cape,Urban,3329.39,Secondary,No,4,1
15,Male,KwaZulu-Natal,Urban,8036.56,Primary,Yes,10,0
16,Male,Northern Cape,Urban,276.59,Tertiary,Yes,5,0
12,Female,North West,Urban,5302.84,None,Yes,7,0
13,Female,Free State,Urban,18204.7,Secondary,Yes,7,0
13,Female,KwaZulu-Natal,Rural,10600.89,Primary,No,3,1
12,Male,Eastern Cape,Rural,4474.3,Primary,No,8,1
18,Female,Mpumalanga,Rural,13616.66,Secondary,Yes,10,0
13,Female,Western Cape,Urban,4031.83,Tertiary,Yes,6,0
19,Female,Northern Cape,Urban,5785.22,Secondary,Yes,5,0
17,Male,Western Cape,Urban,3404.59,Tertiary,No,4,1
17,Female,KwaZulu-Natal,Urban,9024.32,Primary,Yes,7,0
19,Male,Western Cape,Urban,13474.52,Secondary,Yes,4,0
12,Male,Mpumalanga,Rural,4003.98,Secondary,Yes,5,0
19,Male,KwaZulu-Natal,Rural,0.0,None,Yes,5,0
16,Male,Northern Cape,Urban,12363.87,Secondary,No,2,1
16,Female,Gauteng,Urban,14215.2,Secondary,Yes,1,0
12,Male,North West,Urban,19.68,Secondary,Yes,3,0
19,Male,KwaZulu-Natal,Urban,9840.22,Secondary,Yes,11,0
16,Female,Mpumalanga,Urban,8906.02,Secondary,Yes,3,1
5,Female,KwaZulu-Natal,Urban,4850.1,None,Yes,2,0
19,Male,KwaZulu-Natal,Urban,,,,2,0
18,Female,Northern Cape,Rural,11967.0,Secondary,No,3,0
16,Male,KwaZulu-Natal,Urban,8716.28,Primary,Yes,1,0
17,Male,North West,Rural,9017.71,None,Yes,6,0
16,Male,Western Cape,Urban,5512.92,Secondary,Yes,5,0
18,Male,Northern Cape,Urban,4792.36,Secondary,Yes,6,0
14,Female,North West,Urban,0.0,Primary,No,9,1
15,Male,Northern Cape,Urban,7087.89,Secondary,Yes,7,0
13,Female,North West,Urban,13755.31,Secondary,Yes,1,0
19,Female,Mpumalanga,Rural,4438.98,Primary,Yes,3,0
14,Female,North West,Rural,1910.34,Secondary,Yes,6,0
16,Female,Limpopo,Urban,9742.66,Secondary,Yes,1,0
17,Male,North West,Urban,10480.32,Secondary,No,3,1
12,Female,Gauteng,Rural,5656.38,Secondary,Yes,11,0
16,Male,Gauteng,Urban,6604.94,None,Yes,7,0
17,Female,Free State,Urban,9055.61,Secondary,Yes,4,0
15,Female,Limpopo,Urban,7377.8,Primary,Yes,3,0
16,Male,Limpopo,Rural,12000.52,Tertiary,Yes,10,1
18,Male,Western Cape,Rural,17748.97,Tertiary,No,7,0
12,Male,Limpopo,Urban,1163.35,Secondary,Yes,1,0
17,Female,Western Cape,Rural,12919.02,Primary,Yes,8,0
17,Female,Free State,Rural,8421.04,Primary,Yes,1,0
5,Male,Free State,Urban,13552.8,Primary,Yes,5,0
15,Male,Mpumalanga,Urban,,,,10,0
16,Male,Gauteng,Urban,8244.63,Primary,No,9,1
15,Male,North West,Rural,11040.09,Secondary,Yes,6,0
19,Female,North West,Urban,6423.38,Primary,No,1,0
13,Male,Eastern Cape,Rural,,,,11,0
13,Male,Northern Cape,Urban,11243.45,Primary,Yes,8,0
19,Male,Mpumalanga,Rural,4622.69,Tertiary,Yes,6,0
16,Male,Eastern Cape,Urban,10569.49,Tertiary,Yes,11,0
18,Female,Eastern Cape,Urban,8122.99,Secondary,Yes,6,0
15,Male,KwaZulu-Natal,Rural,0.0,Secondary,Yes,11,0
12,Female,KwaZulu-Natal,Rural,5702.47,Secondary,Yes,6,0
17,Male,Eastern Cape,Rural,9339.35,Secondary,Yes,5,0
17,Male,Limpopo,Urban,6376.0,Primary,No,9,1
16,Female,Northern Cape,Rural,1000000.0,Primary,Yes,2,0
18,Male,Mpumalanga,Urban,13283.0,Secondary,No,9,0
13,Female,Eastern Cape,Urban,8677.5,Secondary,Yes,4,0
13,Female,North West,Urban,9774.96,Secondary,Yes,1,0
17,Male,Northern Cape,Urban,6106.9,Primary,Yes,5,0
16,Female,KwaZulu-Natal,Urban,10125.96,Primary,Yes,3,0
15,Female,North West,Rural,15339.28,None,No,4,1
13,Female,KwaZulu-Natal,Urban,5059.71,None,Yes,7,0
15,Female,KwaZulu-Natal,Rural,14668.05,Primary,No,7,1
18,Female,Northern Cape,Urban,9594.26,None,No,4,0
13,Female,KwaZulu-Natal,Urban,4522.27,Primary,Yes,1,1
13,Female,Free State,Urban,16849.56,Tertiary,No,3,1
14,Female,Gauteng,Rural,9566.56,None,Yes,11,0
13,Male,Free State,Rural,10705.91,Secondary,No,8,1
19,Male,Gauteng,Rural,6922.59,Primary,Yes,6,0
5,Female,KwaZulu-Natal,Rural,4814.69,Tertiary,Yes,7,0
19,Male,Mpumalanga,Urban,8671.25,Secondary,No,4,0
16,Female,Mpumalanga,Urban,14325.85,Primary,Yes,4,0
16,Female,Gauteng,Rural,6761.36,Secondary,Yes,9,0
15,Male,North West,Urban,7893.0,Primary,Yes,10,0
19,Female,Northern Cape,Urban,13825.31,Secondary,Yes,6,0
19,Female,KwaZulu-Natal,Urban,6798.69,Primary,Yes,2,0
19,Female,Northern Cape,Urban,10041.11,Tertiary,Yes,4,0
18,Female,Free State,Urban,11509.4,Secondary,Yes,6,0
13,Male,Mpumalanga,Urban,7212.88,Primary,Yes,4,0
12,Female,Limpopo,Urban,9239.35,Secondary,Yes,10,0
15,Female,Free State,Urban,10644.41,Primary,Yes,7,0
19,Female,Free State,Urban,6396.34,Tertiary,Yes,3,0
19,Male,Gauteng,Urban,11263.06,Secondary,Yes,6,0
14,Female,Western Cape,Rural,1000000.0,Secondary,No,7,1
15,Male,Free State,Urban,5299.65,Primary,Yes,3,0
19,Male,KwaZulu-Natal,Urban,1891.84,Tertiary,Yes,3,0
15,Female,Eastern Cape,Rural,5986.15,Secondary,No,3,1
13,Female,Eastern Cape,Urban,4737.99,Primary,Yes,11,0
14,Male,KwaZulu-Natal,Urban,6396.5,Primary,Yes,3,0
15,Female,Western Cape,Rural,10447.97,Primary,Yes,10,0
12,Male,Western Cape,Urban,1097.3,Tertiary,No,3,1
12,Male,Gauteng,Rural,101.32,Primary,Yes,3,0
16,Female,Mpumalanga,Rural,5003.68,Secondary,Yes,9,0
14,Female,Northern Cape,Rural,9844.92,None,Yes,4,0
14,Male,Western Cape,Urban,9155.46,Primary,Yes,3,0
16,Male,Limpopo,Urban,4939.75,Secondary,Yes,8,0
15,Male,Gauteng,Urban,12677.63,Tertiary,Yes,1,0
14,Male,North West,Urban,5366.36,Secondary,Yes,5,0
12,Female,Gauteng,Urban,9849.82,Tertiary,Yes,1,0
12,Female,Free State,Urban,6548.85,Secondary,Yes,7,0
19,Female,Northern Cape,Urban,4524.89,None,Yes,5,0
13,Female,North West,Urban,5579.73,Primary,Yes,2,0
14,Female,North West,Urban,10936.0,Secondary,No,7,1
15,Male,Limpopo,Urban,9444.1,Tertiary,Yes,11,0
16,Female,Limpopo,Rural,11872.41,Tertiary,Yes,7,0
16,Female,Limpopo,Urban,9443.94,Primary,No,9,1
15,Female,Gauteng,Urban,1555.32,Primary,Yes,3,0
18,Female,Northern Cape,Rural,16457.66,Primary,Yes,11,0
17,Female,Gauteng,Urban,9500.68,Tertiary,Yes,6,0
13,Male,Eastern Cape,Urban,10058.69,Tertiary,Yes,6,0
16,Male,Free State,Urban,6492.65,Secondary,No,4,1
14,Male,Free State,Rural,,,,11,0
13,Female,Limpopo,Urban,3627.57,Secondary,Yes,11,0
14,Male,Eastern Cape,Urban,,,,1,0
18,Male,Western Cape,Urban,0.0,Primary,Yes,7,0
12,Female,Western Cape,Rural,10708.83,Secondary,Yes,2,0
13,Female,Limpopo,Urban,3681.8,None,Yes,6,0
19,Female,Gauteng,Urban,9107.98,Primary,Yes,8,0
16,Male,Limpopo,Rural,13429.36,Tertiary,Yes,5,0
13,Male,Mpumalanga,Urban,11290.87,Secondary,No,7,1
13,Female,North West,Rural,12897.53,Secondary,Yes,3,0
13,Female,Free State,Urban,12483.39,Secondary,Yes,11,0
17,Male,Western Cape,Rural,,,,8,0
13,Male,KwaZulu-Natal,Urban,10393.32,Secondary,Yes,8,0
14,Female,Western Cape,Rural,1100.33,Secondary,Yes,4,0
12,Female,Free State,Rural,5252.25,Secondary,Yes,8,0
18,Male,North West,Urban,,,,5,0
15,Female,Free State,Urban,6459.85,Primary,Yes,11,0
13,Male,KwaZulu-Natal,Urban,527.99,Primary,No,2,1
16,Male,Limpopo,Urban,16054.8,Secondary,Yes,3,0
13,Male,Eastern Cape,Urban,10249.0,Primary,Yes,7,0
16,Male,KwaZulu-Natal,Urban,11057.91,Secondary,Yes,11,0
14,Female,Free State,Urban,4078.12,Primary,Yes,11,0
16,Female,Free State,Urban,9136.23,Primary,Yes,9,0
19,Male,Mpumalanga,Urban,9030.3,Primary,No,8,0
15,Male,Mpumalanga,Rural,4714.06,Tertiary,Yes,1,0
12,Male,Northern Cape,Urban,7320.72,Primary,Yes,1,0
16,Male,Mpumalanga,Urban,1998.13,Secondary,Yes,10,0
16,Male,Gauteng,Urban,,,,2,1
12,Female,Eastern Cape,Urban,11895.39,None,Yes,5,0
15,Female,North West,Urban,5012.61,Secondary,Yes,1,0
13,Female,KwaZulu-Natal,Urban,15629.19,Secondary,Yes,4,0
16,Female,Free State,Urban,2255.63,Secondary,Yes,1,0
12,Male,Northern Cape,Rural,6959.3,Tertiary,Yes,2,0
19,Male,Northern Cape,Urban,5374.28,Primary,Yes,2,0
19,Male,North West,Rural,7279.28,None,Yes,4,0
14,Male,Eastern Cape,Rural,13485.9,Tertiary,Yes,8,0
12,Male,KwaZulu-Natal,Rural,4062.18,Primary,No,8,1
14,Female,Western Cape,Rural,6194.92,Secondary,Yes,9,0
19,Male,Mpumalanga,Urban,10618.02,Secondary,No,3,0
15,Female,Limpopo,Urban,8372.64,Primary,Yes,2,0
13,Female,Northern Cape,Rural,8700.7,Secondary,Yes,1,0
12,Female,Mpumalanga,Urban,4138.89,Primary,Yes,10,0
18,Female,Mpumalanga,Urban,7713.67,Primary,Yes,10,0
19,Male,Gauteng,Rural,,,,9,0
19,Female,Eastern Cape,Rural,1561.92,Tertiary,Yes,2,0
18,Female,Limpopo,Rural,5210.76,Primary,Yes,8,0
17,Female,Western Cape,Rural,737.83,Secondary,Yes,3,0
19,Male,Free State,Rural,10147.9,Tertiary,Yes,1,0
16,Male,Gauteng,Urban,,,,11,0
15,Male,Mpumalanga,Rural,7266.36,Secondary,Yes,1,0
12,Female,Mpumalanga,Urban,3977.92,Secondary,Yes,10,0
18,Female,Limpopo,Urban,4095.01,Primary,Yes,2,0
16,Male,Limpopo,Rural,6811.77,Secondary,No,5,1
18,Female,Limpopo,Urban,6796.51,Secondary,No,9,0
12,Male,Mpumalanga,Urban,11647.33,Tertiary,Yes,11,0
14,Male,Northern Cape,Urban,5324.5,Tertiary,Yes,2,0
12,Female,KwaZulu-Natal,Rural,9740.31,Tertiary,Yes,4,0
17,Female,Mpumalanga,Urban,6778.12,Tertiary,Yes,2,0
12,Female,Gauteng,Rural,,,,1,0
12,Female,Eastern Cape,Urban,6678.5,Secondary,Yes,3,0
17,Male,Western Cape,Rural,9346.15,Tertiary,Yes,4,0
15,Male,Free State,Rural,11659.73,Primary,Yes,10,0
19,Male,Western Cape,Urban,6992.11,Tertiary,Yes,5,0
12,Male,Mpumalanga,Urban,3184.25,Secondary,Yes,5,0
17,Male,Gauteng,Urban,11998.86,Secondary,Yes,7,0
16,Female,Mpumalanga,Rural,4407.32,Secondary,Yes,10,0
14,Male,Eastern Cape,Rural,9043.29,Tertiary,No,9,1
14,Male,Northern Cape,Rural,7900.67,Primary,Yes,9,0
12,Male,Free State,Urban,7365.72,Secondary,Yes,7,0
15,Female,Eastern Cape,Rural,6052.09,Secondary,Yes,5,0
15,Female,Mpumalanga,Rural,10480.6,Primary,Yes,9,0
16,Female,Gauteng,Rural,0.0,Secondary,Yes,8,0
12,Female,Eastern Cape,Rural,12545.88,Secondary,Yes,10,0
14,Male,North West,Urban,4349.97,Secondary,Yes,9,0
15,Male,Gauteng,Urban,9631.83,Primary,No,3,1
12,Female,Northern Cape,Rural,9420.1,Secondary,Yes,8,0
18,Female,Mpumalanga,Rural,13099.91,Secondary,No,5,0
15,Male,Limpopo,Urban,8791.0,Secondary,Yes,4,0
17,Male,Free State,Urban,4683.56,Primary,No,1,1
18,Female,KwaZulu-Natal,Urban,1580.98,Tertiary,Yes,9,0
19,Female,Limpopo,Urban,,,,10,0
15,Female,Mpumalanga,Urban,167.3,Secondary,Yes,10,0
14,Female,North West,Rural,5486.06,Secondary,Yes,9,0
13,Male,Limpopo,Rural,6829.48,Primary,Yes,10,0
18,Male,Free State,Urban,5240.34,Secondary,Yes,3,0
19,Male,Gauteng,Urban,8167.09,Secondary,No,1,0
16,Female,North West,Urban,7055.58,Secondary,No,6,1
16,Female,North West,Urban,6689.25,Secondary,Yes,11,0
14,Male,Eastern Cape,Rural,0.0,Secondary,Yes,6,0
15,Male,Free State,Rural,2821.18,Primary,Yes,6,0
12,Male,Limpopo,Urban,10570.63,Secondary,Yes,6,0
15,Male,Eastern Cape,Rural,11217.03,Primary,Yes,5,0
14,Female,North West,Rural,644.89,Primary,Yes,5,0
16,Male,Eastern Cape,Rural,4741.13,Tertiary,No,1,1
15,Male,Western Cape,Urban,12287.86,Secondary,Yes,7,0
16,Male,Free State,Rural,5127.84,Secondary,Yes,4,0
18,Male,Northern Cape,Urban,7554.04,Secondary,Yes,3,0
19,Male,Gauteng,Urban,13767.22,Tertiary,Yes,8,0
12,Male,North West,Urban,6553.69,Secondary,Yes,4,0
18,Male,Free State,Urban,5981.12,Secondary,Yes,11,0
16,Female,Northern Cape,Urban,7371.85,Primary,Yes,4,0
16,Female,Northern Cape,Urban,15413.64,Tertiary,Yes,8,0
13,Female,Mpumalanga,Urban,9784.81,Tertiary,Yes,1,0
13,Female,Eastern Cape,Rural,8076.33,Tertiary,Yes,9,0
18,Male,Northern Cape,Rural,5902.56,Primary,Yes,7,0
17,Female,Western Cape,Urban,10155.27,Primary,Yes,2,0
18,Female,Free State,Rural,10638.8,Primary,Yes,11,0
13,Male,KwaZulu-Natal,Rural,3707.29,Primary,Yes,6,0
16,Male,KwaZulu-Natal,Rural,10746.51,Tertiary,Yes,8,0
14,Female,North West,Urban,7395.39,None,No,5,1
18,Female,Eastern Cape,Rural,8099.19,None,Yes,5,0
16,Male,Northern Cape,Rural,4462.84,Primary,No,5,1
14,Female,Free State,Rural,6400.07,Primary,Yes,10,0
14,Male,North West,Urban,,,,8,0
13,Male,Limpopo,Urban,3687.13,Secondary,No,1,1
18,Male,Northern Cape,Rural,9508.36,Secondary,Yes,9,0
15,Male,Eastern Cape,Urban,6579.53,None,Yes,9,0
12,Female,KwaZulu-Natal,Urban,2801.45,Secondary,Yes,9,0
13,Male,Mpumalanga,Urban,16708.21,Secondary,No,5,1
13,Male,Free State,Rural,3501.38,Primary,Yes,9,0
15,Female,Gauteng,Rural,12368.41,Secondary,Yes,3,0
12,Male,North West,Urban,2094.15,Secondary,Yes,5,0
16,Female,Free State,Rural,9826.01,Secondary,No,6,1
